Процессор Intel Core i3-7100 3.9GHz/8GT/s/3MB (BX80677I37100) s1151 BOX
Материнская плата Gigabyte GA-A320M-HD2 (sAM4, AMD A320, PCI-Ex16)
Материнская плата ASRock AB350M Pro4 (sAM4, AMD B350, PCI-Ex16)
Материнская плата Gigabyte GA-N3050N-D2P (Intel Celeron N3050, SoC, PCI)
Материнская плата MSI Z270 Gaming M5 (s1151, Intel Z270, PCI-Ex16)
Материнская плата MSI B350M Mortar Arctic (sAM4, AMD B350, PCI-Ex16)
Материнская плата MSI B250M Pro-VH (s1151, Intel B250, PCI-Ex16)
Материнская плата ASRock H81M-VG4 R3.0 (s1150, H81, PCIe x16)
Материнская плата ASRock FATAL1TY Z270 Gaming K4 (s1151, Intel Z270, PCI-Ex16)
Материнская плата ASRock Z270 Extreme4 (s1151, Intel Z270, PCI-Ex16)
Материнская плата Gigabyte GA-Z270P-D3 (s1151, Intel Z270, PCI-Ex16)
Материнская плата MSI B250 Gaming M3 (s1151, Intel B250, PCI-Ex16)
Материнская плата ASRock Q1900B-ITX (Intel Quad-Core J1900, SoC, PCI-Ex1)
Материнская плата ASRock B250M Pro4 (s1151, Intel B250, PCI-Ex16)
Материнская плата Gigabyte GA-78LMT-S2 (sAM3+, AMD 760G, PCI-Ex16)
Материнская плата Gigabyte GA-N3150N-D3V (Intel Celeron N3150, SoC, PCI)
Материнская плата Gigabyte GA-B250-HD3P (s1151, Intel B250, PCI-Ex16)
Материнская плата MSI H270 Gaming M3 (s1151, Intel H270, PCI-Ex16)
Материнская плата ASRock B250M-HDV (s1151, Intel B250, PCI-Ex16)
Материнская плата ASRock AB350M-HDV (sAM4, AMD B350, PCI-Ex16)
Материнская плата ASRock FATAL1TY AB350 Gaming K4 (sAM4, AMD B350, PCI-Ex16)
Материнская плата MSI B250M Bazooka (s1151, Intel B250, PCI-Ex16)
Материнская плата ASRock Fatal1ty H270 Performance (s1151, Intel H270, PCI-Ex16)
Материнская плата ASRock Z270 Killer SLI (s1151, Intel Z270, PCI-Ex16)
Материнская плата Gigabyte GA-H110N (s1151, Intel H110, PCI-Ex16)
